2025-12-22 16:34:43 [INFO] === Starting network test ===
2025-12-22 16:35:05 [INFO] Ping to 8.8.8.8: 14.56 ms
2025-12-22 16:35:05 [INFO] Download Speed: 52.50 Mbps
2025-12-22 16:35:05 [INFO] Upload Speed: 21.17 Mbps
2025-12-22 16:35:05 [INFO] Initializing YOLO model...
2025-12-22 16:35:05 [INFO] === Starting FPS=1 experiment ===
2025-12-22 16:35:05 [INFO] Running iteration 1/60 | FPS=1
2025-12-22 16:35:07 [INFO] Running iteration 2/60 | FPS=1
2025-12-22 16:35:09 [INFO] Running iteration 3/60 | FPS=1
2025-12-22 16:35:10 [INFO] Running iteration 4/60 | FPS=1
2025-12-22 16:35:12 [INFO] Running iteration 5/60 | FPS=1
2025-12-22 16:35:14 [INFO] Running iteration 6/60 | FPS=1
2025-12-22 16:35:15 [INFO] Running iteration 7/60 | FPS=1
2025-12-22 16:35:17 [INFO] Running iteration 8/60 | FPS=1
2025-12-22 16:35:18 [INFO] Running iteration 9/60 | FPS=1
2025-12-22 16:35:20 [INFO] Running iteration 10/60 | FPS=1
2025-12-22 16:35:21 [INFO] Running iteration 11/60 | FPS=1
2025-12-22 16:35:23 [INFO] Running iteration 12/60 | FPS=1
2025-12-22 16:35:25 [INFO] Running iteration 13/60 | FPS=1
2025-12-22 16:35:26 [INFO] Running iteration 14/60 | FPS=1
2025-12-22 16:35:28 [INFO] Running iteration 15/60 | FPS=1
2025-12-22 16:35:29 [INFO] Running iteration 16/60 | FPS=1
2025-12-22 16:35:31 [INFO] Running iteration 17/60 | FPS=1
2025-12-22 16:35:32 [INFO] Running iteration 18/60 | FPS=1
2025-12-22 16:35:34 [INFO] Running iteration 19/60 | FPS=1
2025-12-22 16:35:36 [INFO] Running iteration 20/60 | FPS=1
2025-12-22 16:35:37 [INFO] Running iteration 21/60 | FPS=1
2025-12-22 16:35:39 [INFO] Running iteration 22/60 | FPS=1
2025-12-22 16:35:40 [INFO] Running iteration 23/60 | FPS=1
2025-12-22 16:35:42 [INFO] Running iteration 24/60 | FPS=1
2025-12-22 16:35:44 [INFO] Running iteration 25/60 | FPS=1
2025-12-22 16:35:45 [INFO] Running iteration 26/60 | FPS=1
2025-12-22 16:35:47 [INFO] Running iteration 27/60 | FPS=1
2025-12-22 16:35:48 [INFO] Running iteration 28/60 | FPS=1
2025-12-22 16:35:50 [INFO] Running iteration 29/60 | FPS=1
2025-12-22 16:35:51 [INFO] Running iteration 30/60 | FPS=1
2025-12-22 16:35:53 [INFO] Running iteration 31/60 | FPS=1
2025-12-22 16:35:54 [INFO] Running iteration 32/60 | FPS=1
2025-12-22 16:35:56 [INFO] Running iteration 33/60 | FPS=1
2025-12-22 16:35:58 [INFO] Running iteration 34/60 | FPS=1
2025-12-22 16:35:59 [INFO] Running iteration 35/60 | FPS=1
2025-12-22 16:36:01 [INFO] Running iteration 36/60 | FPS=1
2025-12-22 16:36:02 [INFO] Running iteration 37/60 | FPS=1
2025-12-22 16:36:04 [INFO] Running iteration 38/60 | FPS=1
2025-12-22 16:36:05 [INFO] Running iteration 39/60 | FPS=1
2025-12-22 16:36:07 [INFO] Running iteration 40/60 | FPS=1
2025-12-22 16:36:09 [INFO] Running iteration 41/60 | FPS=1
2025-12-22 16:36:10 [INFO] Running iteration 42/60 | FPS=1
2025-12-22 16:36:12 [INFO] Running iteration 43/60 | FPS=1
2025-12-22 16:36:13 [INFO] Running iteration 44/60 | FPS=1
2025-12-22 16:36:15 [INFO] Running iteration 45/60 | FPS=1
2025-12-22 16:36:16 [INFO] Running iteration 46/60 | FPS=1
2025-12-22 16:36:18 [INFO] Running iteration 47/60 | FPS=1
2025-12-22 16:36:20 [INFO] Running iteration 48/60 | FPS=1
