2025-11-10 13:55:23 [INFO] [Receiver] Received image | req_id=0 | Queue size=1
2025-11-10 13:55:23 [INFO] [Worker] Running YOLO inference | req_id=0 | expId=44
2025-11-10 13:55:23 [INFO] [Worker] Inference done | req_id=0 | Time=0.93s
2025-11-10 13:55:24 [INFO] [Receiver] Received image | req_id=1 | Queue size=1
2025-11-10 13:55:24 [INFO] [Worker] Running YOLO inference | req_id=1 | expId=44
2025-11-10 13:55:24 [INFO] [Worker] Inference done | req_id=1 | Time=0.42s
2025-11-10 13:55:25 [INFO] [Receiver] Received image | req_id=2 | Queue size=1
2025-11-10 13:55:25 [INFO] [Worker] Running YOLO inference | req_id=2 | expId=44
2025-11-10 13:55:25 [INFO] [Worker] Inference done | req_id=2 | Time=0.44s
2025-11-10 13:55:26 [INFO] [Receiver] Received image | req_id=3 | Queue size=1
2025-11-10 13:55:26 [INFO] [Worker] Running YOLO inference | req_id=3 | expId=44
2025-11-10 13:55:26 [INFO] [Worker] Inference done | req_id=3 | Time=0.41s
2025-11-10 13:55:27 [INFO] [Receiver] Received image | req_id=4 | Queue size=1
2025-11-10 13:55:27 [INFO] [Worker] Running YOLO inference | req_id=4 | expId=44
2025-11-10 13:55:27 [INFO] [Worker] Inference done | req_id=4 | Time=0.42s
2025-11-10 13:55:28 [INFO] [Receiver] Received image | req_id=5 | Queue size=1
2025-11-10 13:55:28 [INFO] [Worker] Running YOLO inference | req_id=5 | expId=44
2025-11-10 13:55:28 [INFO] [Worker] Inference done | req_id=5 | Time=0.42s
2025-11-10 13:55:29 [INFO] [Receiver] Received image | req_id=6 | Queue size=1
2025-11-10 13:55:29 [INFO] [Worker] Running YOLO inference | req_id=6 | expId=44
2025-11-10 13:55:29 [INFO] [Worker] Inference done | req_id=6 | Time=0.41s
2025-11-10 13:55:30 [INFO] [Receiver] Received image | req_id=7 | Queue size=1
2025-11-10 13:55:30 [INFO] [Worker] Running YOLO inference | req_id=7 | expId=44
2025-11-10 13:55:30 [INFO] [Worker] Inference done | req_id=7 | Time=0.42s
2025-11-10 13:55:31 [INFO] [Receiver] Received image | req_id=8 | Queue size=1
2025-11-10 13:55:31 [INFO] [Worker] Running YOLO inference | req_id=8 | expId=44
2025-11-10 13:55:31 [INFO] [Worker] Inference done | req_id=8 | Time=0.44s
2025-11-10 13:55:32 [INFO] [Receiver] Received image | req_id=9 | Queue size=1
2025-11-10 13:55:32 [INFO] [Worker] Running YOLO inference | req_id=9 | expId=44
2025-11-10 13:55:32 [INFO] [Worker] Inference done | req_id=9 | Time=0.43s
2025-11-10 13:55:33 [INFO] [Receiver] Received image | req_id=10 | Queue size=1
2025-11-10 13:55:33 [INFO] [Worker] Running YOLO inference | req_id=10 | expId=44
2025-11-10 13:55:33 [INFO] [Worker] Inference done | req_id=10 | Time=0.44s
2025-11-10 13:55:34 [INFO] [Receiver] Received image | req_id=11 | Queue size=1
2025-11-10 13:55:34 [INFO] [Worker] Running YOLO inference | req_id=11 | expId=44
2025-11-10 13:55:34 [INFO] [Worker] Inference done | req_id=11 | Time=0.44s
2025-11-10 13:55:35 [INFO] [Receiver] Received image | req_id=12 | Queue size=1
2025-11-10 13:55:35 [INFO] [Worker] Running YOLO inference | req_id=12 | expId=44
2025-11-10 13:55:35 [INFO] [Worker] Inference done | req_id=12 | Time=0.44s
2025-11-10 13:55:36 [INFO] [Receiver] Received image | req_id=13 | Queue size=1
2025-11-10 13:55:36 [INFO] [Worker] Running YOLO inference | req_id=13 | expId=44
2025-11-10 13:55:36 [INFO] [Worker] Inference done | req_id=13 | Time=0.45s
2025-11-10 13:55:37 [INFO] [Receiver] Received image | req_id=14 | Queue size=1
2025-11-10 13:55:37 [INFO] [Worker] Running YOLO inference | req_id=14 | expId=44
2025-11-10 13:55:37 [INFO] [Worker] Inference done | req_id=14 | Time=0.44s
2025-11-10 13:55:38 [INFO] [Receiver] Received image | req_id=15 | Queue size=1
2025-11-10 13:55:38 [INFO] [Worker] Running YOLO inference | req_id=15 | expId=44
2025-11-10 13:55:38 [INFO] [Worker] Inference done | req_id=15 | Time=0.44s
2025-11-10 13:55:39 [INFO] [Receiver] Received image | req_id=16 | Queue size=1
2025-11-10 13:55:39 [INFO] [Worker] Running YOLO inference | req_id=16 | expId=44
2025-11-10 13:55:39 [INFO] [Worker] Inference done | req_id=16 | Time=0.44s
2025-11-10 13:55:40 [INFO] [Receiver] Received image | req_id=17 | Queue size=1
2025-11-10 13:55:40 [INFO] [Worker] Running YOLO inference | req_id=17 | expId=44
2025-11-10 13:55:40 [INFO] [Worker] Inference done | req_id=17 | Time=0.44s
2025-11-10 13:55:41 [INFO] [Receiver] Received image | req_id=18 | Queue size=1
2025-11-10 13:55:41 [INFO] [Worker] Running YOLO inference | req_id=18 | expId=44
2025-11-10 13:55:41 [INFO] [Worker] Inference done | req_id=18 | Time=0.44s
2025-11-10 13:55:42 [INFO] [Receiver] Received image | req_id=19 | Queue size=1
2025-11-10 13:55:42 [INFO] [Worker] Running YOLO inference | req_id=19 | expId=44
2025-11-10 13:55:42 [INFO] [Worker] Inference done | req_id=19 | Time=0.45s
2025-11-10 13:55:43 [INFO] [Receiver] Received image | req_id=20 | Queue size=1
2025-11-10 13:55:43 [INFO] [Worker] Running YOLO inference | req_id=20 | expId=44
2025-11-10 13:55:43 [INFO] [Worker] Inference done | req_id=20 | Time=0.44s
2025-11-10 13:55:44 [INFO] [Receiver] Received image | req_id=21 | Queue size=1
2025-11-10 13:55:44 [INFO] [Worker] Running YOLO inference | req_id=21 | expId=44
2025-11-10 13:55:44 [INFO] [Worker] Inference done | req_id=21 | Time=0.42s
2025-11-10 13:55:45 [INFO] [Receiver] Received image | req_id=22 | Queue size=1
2025-11-10 13:55:45 [INFO] [Worker] Running YOLO inference | req_id=22 | expId=44
2025-11-10 13:55:45 [INFO] [Worker] Inference done | req_id=22 | Time=0.44s
2025-11-10 13:55:46 [INFO] [Receiver] Received image | req_id=23 | Queue size=1
2025-11-10 13:55:46 [INFO] [Worker] Running YOLO inference | req_id=23 | expId=44
2025-11-10 13:55:46 [INFO] [Worker] Inference done | req_id=23 | Time=0.42s
2025-11-10 13:55:47 [INFO] [Receiver] Received image | req_id=24 | Queue size=1
2025-11-10 13:55:47 [INFO] [Worker] Running YOLO inference | req_id=24 | expId=44
2025-11-10 13:55:47 [INFO] [Worker] Inference done | req_id=24 | Time=0.42s
2025-11-10 13:55:48 [INFO] [Receiver] Received image | req_id=25 | Queue size=1
2025-11-10 13:55:48 [INFO] [Worker] Running YOLO inference | req_id=25 | expId=44
2025-11-10 13:55:48 [INFO] [Worker] Inference done | req_id=25 | Time=0.44s
2025-11-10 13:55:49 [INFO] [Receiver] Received image | req_id=26 | Queue size=1
2025-11-10 13:55:49 [INFO] [Worker] Running YOLO inference | req_id=26 | expId=44
2025-11-10 13:55:49 [INFO] [Worker] Inference done | req_id=26 | Time=0.46s
2025-11-10 13:55:50 [INFO] [Receiver] Received image | req_id=27 | Queue size=1
2025-11-10 13:55:50 [INFO] [Worker] Running YOLO inference | req_id=27 | expId=44
2025-11-10 13:55:50 [INFO] [Worker] Inference done | req_id=27 | Time=0.45s
2025-11-10 13:55:51 [INFO] [Receiver] Received image | req_id=28 | Queue size=1
2025-11-10 13:55:51 [INFO] [Worker] Running YOLO inference | req_id=28 | expId=44
2025-11-10 13:55:51 [INFO] [Worker] Inference done | req_id=28 | Time=0.44s
2025-11-10 13:55:52 [INFO] [Receiver] Received image | req_id=29 | Queue size=1
2025-11-10 13:55:52 [INFO] [Worker] Running YOLO inference | req_id=29 | expId=44
2025-11-10 13:55:52 [INFO] [Worker] Inference done | req_id=29 | Time=0.45s
2025-11-10 13:55:53 [INFO] [Receiver] Received image | req_id=30 | Queue size=1
2025-11-10 13:55:53 [INFO] [Worker] Running YOLO inference | req_id=30 | expId=44
2025-11-10 13:55:53 [INFO] [Receiver] Received image | req_id=31 | Queue size=1
2025-11-10 13:55:53 [INFO] [Receiver] Received image | req_id=32 | Queue size=2
2025-11-10 13:55:53 [INFO] [Worker] Inference done | req_id=30 | Time=0.47s
2025-11-10 13:55:53 [INFO] [Worker] Running YOLO inference | req_id=31 | expId=44
2025-11-10 13:55:54 [INFO] [Receiver] Received image | req_id=33 | Queue size=2
2025-11-10 13:55:54 [INFO] [Receiver] Received image | req_id=34 | Queue size=3
2025-11-10 13:55:54 [INFO] [Worker] Inference done | req_id=31 | Time=0.46s
2025-11-10 13:55:54 [INFO] [Worker] Running YOLO inference | req_id=32 | expId=44
2025-11-10 13:55:54 [INFO] [Receiver] Received image | req_id=35 | Queue size=3
2025-11-10 13:55:54 [INFO] [Receiver] Received image | req_id=36 | Queue size=4
2025-11-10 13:55:54 [INFO] [Worker] Inference done | req_id=32 | Time=0.44s
2025-11-10 13:55:54 [INFO] [Worker] Running YOLO inference | req_id=33 | expId=44
2025-11-10 13:55:55 [INFO] [Receiver] Received image | req_id=37 | Queue size=4
2025-11-10 13:55:55 [INFO] [Receiver] Received image | req_id=38 | Queue size=5
2025-11-10 13:55:55 [INFO] [Worker] Inference done | req_id=33 | Time=0.43s
2025-11-10 13:55:55 [INFO] [Worker] Running YOLO inference | req_id=34 | expId=44
2025-11-10 13:55:55 [INFO] [Receiver] Received image | req_id=39 | Queue size=5
2025-11-10 13:55:55 [INFO] [Worker] Inference done | req_id=34 | Time=0.44s
2025-11-10 13:55:55 [INFO] [Worker] Running YOLO inference | req_id=35 | expId=44
2025-11-10 13:55:55 [INFO] [Receiver] Received image | req_id=40 | Queue size=5
2025-11-10 13:55:56 [INFO] [Worker] Inference done | req_id=35 | Time=0.42s
2025-11-10 13:55:56 [INFO] [Worker] Running YOLO inference | req_id=36 | expId=44
2025-11-10 13:55:56 [INFO] [Receiver] Received image | req_id=41 | Queue size=5
2025-11-10 13:55:56 [INFO] [Worker] Inference done | req_id=36 | Time=0.43s
2025-11-10 13:55:56 [INFO] [Worker] Running YOLO inference | req_id=37 | expId=44
2025-11-10 13:55:56 [INFO] [Receiver] Received image | req_id=42 | Queue size=5
2025-11-10 13:55:57 [INFO] [Worker] Inference done | req_id=37 | Time=0.44s
2025-11-10 13:55:57 [INFO] [Worker] Running YOLO inference | req_id=38 | expId=44
2025-11-10 13:55:57 [INFO] [Receiver] Received image | req_id=43 | Queue size=5
2025-11-10 13:55:57 [INFO] [Worker] Inference done | req_id=38 | Time=0.42s
2025-11-10 13:55:57 [INFO] [Worker] Running YOLO inference | req_id=39 | expId=44
2025-11-10 13:55:57 [INFO] [Receiver] Received image | req_id=44 | Queue size=5
2025-11-10 13:55:57 [INFO] [Worker] Inference done | req_id=39 | Time=0.43s
2025-11-10 13:55:57 [INFO] [Worker] Running YOLO inference | req_id=40 | expId=44
2025-11-10 13:55:57 [INFO] [Receiver] Received image | req_id=45 | Queue size=5
2025-11-10 13:55:58 [INFO] [Worker] Inference done | req_id=40 | Time=0.44s
2025-11-10 13:55:58 [INFO] [Worker] Running YOLO inference | req_id=41 | expId=44
2025-11-10 13:55:58 [INFO] [Receiver] Received image | req_id=46 | Queue size=5
2025-11-10 13:55:58 [INFO] [Worker] Inference done | req_id=41 | Time=0.43s
2025-11-10 13:55:58 [INFO] [Worker] Running YOLO inference | req_id=42 | expId=44
