[2025-10-14T10:36:13.891358] 
=== Starting test at 1 FPS ===
[2025-10-14T10:36:16.848083] Iteration 1/30 | FPS=1 | Status=200
[2025-10-14T10:36:19.075402] Iteration 2/30 | FPS=1 | Status=200
[2025-10-14T10:36:21.502468] Iteration 3/30 | FPS=1 | Status=200
[2025-10-14T10:36:23.498498] Iteration 4/30 | FPS=1 | Status=200
[2025-10-14T10:36:25.444092] Iteration 5/30 | FPS=1 | Status=200
[2025-10-14T10:36:27.613539] Iteration 6/30 | FPS=1 | Status=200
[2025-10-14T10:36:29.809578] Iteration 7/30 | FPS=1 | Status=200
[2025-10-14T10:36:31.852035] Iteration 8/30 | FPS=1 | Status=200
[2025-10-14T10:36:34.025384] Iteration 9/30 | FPS=1 | Status=200
[2025-10-14T10:36:36.111368] Iteration 10/30 | FPS=1 | Status=200
[2025-10-14T10:36:38.238720] Iteration 11/30 | FPS=1 | Status=200
[2025-10-14T10:36:40.477870] Iteration 12/30 | FPS=1 | Status=200
[2025-10-14T10:36:42.608564] Iteration 13/30 | FPS=1 | Status=200
[2025-10-14T10:36:45.199769] Iteration 14/30 | FPS=1 | Status=200
[2025-10-14T10:36:47.259847] Iteration 15/30 | FPS=1 | Status=200
[2025-10-14T10:36:49.482901] Iteration 16/30 | FPS=1 | Status=200
[2025-10-14T10:36:51.583147] Iteration 17/30 | FPS=1 | Status=200
[2025-10-14T10:36:53.793084] Iteration 18/30 | FPS=1 | Status=200
[2025-10-14T10:36:56.011604] Iteration 19/30 | FPS=1 | Status=200
[2025-10-14T10:36:58.192605] Iteration 20/30 | FPS=1 | Status=200
[2025-10-14T10:37:00.653774] Iteration 21/30 | FPS=1 | Status=200
[2025-10-14T10:37:02.582340] Iteration 22/30 | FPS=1 | Status=200
[2025-10-14T10:37:04.871370] Iteration 23/30 | FPS=1 | Status=200
[2025-10-14T10:37:07.107299] Iteration 24/30 | FPS=1 | Status=200
[2025-10-14T10:37:09.225161] Iteration 25/30 | FPS=1 | Status=200
[2025-10-14T10:37:11.658990] Iteration 26/30 | FPS=1 | Status=200
[2025-10-14T10:37:13.770132] Iteration 27/30 | FPS=1 | Status=200
[2025-10-14T10:37:15.792075] Iteration 28/30 | FPS=1 | Status=200
[2025-10-14T10:37:17.879302] Iteration 29/30 | FPS=1 | Status=200
[2025-10-14T10:37:19.831477] Iteration 30/30 | FPS=1 | Status=200
[2025-10-14T10:37:20.831656] Finished test at 1 FPS in 66.94 seconds
[2025-10-14T10:37:20.832505] 
=== Starting test at 5 FPS ===
[2025-10-14T10:37:21.966507] Iteration 1/30 | FPS=5 | Status=200
[2025-10-14T10:37:23.243268] Iteration 2/30 | FPS=5 | Status=200
[2025-10-14T10:37:24.656949] Iteration 3/30 | FPS=5 | Status=200
[2025-10-14T10:37:26.068679] Iteration 4/30 | FPS=5 | Status=200
[2025-10-14T10:37:27.260070] Iteration 5/30 | FPS=5 | Status=200
[2025-10-14T10:37:28.510176] Iteration 6/30 | FPS=5 | Status=200
[2025-10-14T10:37:29.488594] Iteration 7/30 | FPS=5 | Status=200
[2025-10-14T10:37:30.793883] Iteration 8/30 | FPS=5 | Status=200
[2025-10-14T10:37:32.177881] Iteration 9/30 | FPS=5 | Status=200
[2025-10-14T10:37:33.421673] Iteration 10/30 | FPS=5 | Status=200
[2025-10-14T10:37:34.833787] Iteration 11/30 | FPS=5 | Status=200
[2025-10-14T10:37:36.243551] Iteration 12/30 | FPS=5 | Status=200
[2025-10-14T10:37:37.370636] Iteration 13/30 | FPS=5 | Status=200
[2025-10-14T10:37:38.918817] Iteration 14/30 | FPS=5 | Status=200
[2025-10-14T10:37:40.214879] Iteration 15/30 | FPS=5 | Status=200
[2025-10-14T10:37:41.462720] Iteration 16/30 | FPS=5 | Status=200
[2025-10-14T10:37:42.930021] Iteration 17/30 | FPS=5 | Status=200
[2025-10-14T10:37:44.184881] Iteration 18/30 | FPS=5 | Status=200
[2025-10-14T10:37:45.292472] Iteration 19/30 | FPS=5 | Status=200
[2025-10-14T10:37:46.847486] Iteration 20/30 | FPS=5 | Status=200
[2025-10-14T10:37:48.448784] Iteration 21/30 | FPS=5 | Status=200
[2025-10-14T10:37:49.953150] Iteration 22/30 | FPS=5 | Status=200
[2025-10-14T10:37:51.314164] Iteration 23/30 | FPS=5 | Status=200
[2025-10-14T10:37:52.321924] Iteration 24/30 | FPS=5 | Status=200
[2025-10-14T10:37:53.698462] Iteration 25/30 | FPS=5 | Status=200
[2025-10-14T10:37:54.656643] Iteration 26/30 | FPS=5 | Status=200
[2025-10-14T10:37:55.773022] Iteration 27/30 | FPS=5 | Status=200
[2025-10-14T10:37:56.996176] Iteration 28/30 | FPS=5 | Status=200
[2025-10-14T10:37:57.992025] Iteration 29/30 | FPS=5 | Status=200
[2025-10-14T10:37:59.208116] Iteration 30/30 | FPS=5 | Status=200
[2025-10-14T10:37:59.408321] Finished test at 5 FPS in 38.58 seconds
[2025-10-14T10:37:59.408451] 
=== Starting test at 10 FPS ===
