[2025-10-23T15:34:39.910302] [Sender 4] === Sender thread 4 started ===
[2025-10-23T15:34:39.910302] [Sender 4] === Starting network test ===
[2025-10-23T15:35:33.111793] [Sender 4] Ping to 8.8.8.8: 9.78 ms
[2025-10-23T15:35:33.111793] [Sender 4] Download Speed: 13.03 Mbps
[2025-10-23T15:35:33.111793] [Sender 4] Upload Speed: 5.36 Mbps
[2025-10-23T15:35:33.111793] [Sender 4] 
=== Starting test at 1 FPS ===
[2025-10-23T15:35:37.189633] [Sender 4] Iteration 1/30 | FPS=1 | ReqID=540 | Status=200
[2025-10-23T15:35:40.214112] [Sender 4] Iteration 2/30 | FPS=1 | ReqID=541 | Status=200
[2025-10-23T15:35:42.600003] [Sender 4] Iteration 3/30 | FPS=1 | ReqID=542 | Status=200
[2025-10-23T15:35:45.527290] [Sender 4] Iteration 4/30 | FPS=1 | ReqID=543 | Status=200
[2025-10-23T15:35:48.114035] [Sender 4] Iteration 5/30 | FPS=1 | ReqID=544 | Status=200
[2025-10-23T15:35:50.776073] [Sender 4] Iteration 6/30 | FPS=1 | ReqID=545 | Status=200
[2025-10-23T15:35:53.533804] [Sender 4] Iteration 7/30 | FPS=1 | ReqID=546 | Status=200
[2025-10-23T15:35:56.537693] [Sender 4] Iteration 8/30 | FPS=1 | ReqID=547 | Status=200
[2025-10-23T15:35:59.326576] [Sender 4] Iteration 9/30 | FPS=1 | ReqID=548 | Status=200
[2025-10-23T15:36:02.067845] [Sender 4] Iteration 10/30 | FPS=1 | ReqID=549 | Status=200
[2025-10-23T15:36:04.724034] [Sender 4] Iteration 11/30 | FPS=1 | ReqID=550 | Status=200
[2025-10-23T15:36:07.447905] [Sender 4] Iteration 12/30 | FPS=1 | ReqID=551 | Status=200
[2025-10-23T15:36:10.429610] [Sender 4] Iteration 13/30 | FPS=1 | ReqID=552 | Status=200
[2025-10-23T15:36:13.145064] [Sender 4] Iteration 14/30 | FPS=1 | ReqID=553 | Status=200
[2025-10-23T15:36:15.894458] [Sender 4] Iteration 15/30 | FPS=1 | ReqID=554 | Status=200
[2025-10-23T15:36:18.570719] [Sender 4] Iteration 16/30 | FPS=1 | ReqID=555 | Status=200
[2025-10-23T15:36:21.219744] [Sender 4] Iteration 17/30 | FPS=1 | ReqID=556 | Status=200
[2025-10-23T15:36:24.045380] [Sender 4] Iteration 18/30 | FPS=1 | ReqID=557 | Status=200
[2025-10-23T15:36:26.685326] [Sender 4] Iteration 19/30 | FPS=1 | ReqID=558 | Status=200
[2025-10-23T15:36:29.380905] [Sender 4] Iteration 20/30 | FPS=1 | ReqID=559 | Status=200
[2025-10-23T15:36:32.163065] [Sender 4] Iteration 21/30 | FPS=1 | ReqID=560 | Status=200
[2025-10-23T15:36:34.871465] [Sender 4] Iteration 22/30 | FPS=1 | ReqID=561 | Status=200
[2025-10-23T15:36:37.543363] [Sender 4] Iteration 23/30 | FPS=1 | ReqID=562 | Status=200
[2025-10-23T15:36:40.225288] [Sender 4] Iteration 24/30 | FPS=1 | ReqID=563 | Status=200
[2025-10-23T15:36:43.043250] [Sender 4] Iteration 25/30 | FPS=1 | ReqID=564 | Status=200
[2025-10-23T15:36:45.692303] [Sender 4] Iteration 26/30 | FPS=1 | ReqID=565 | Status=200
[2025-10-23T15:36:48.584649] [Sender 4] Iteration 27/30 | FPS=1 | ReqID=566 | Status=200
[2025-10-23T15:36:51.148369] [Sender 4] Iteration 28/30 | FPS=1 | ReqID=567 | Status=200
[2025-10-23T15:36:53.697312] [Sender 4] Iteration 29/30 | FPS=1 | ReqID=568 | Status=200
[2025-10-23T15:36:56.603104] [Sender 4] Iteration 30/30 | FPS=1 | ReqID=569 | Status=200
[2025-10-23T15:36:57.609992] [Sender 4] Finished test at 1 FPS in 84.50 seconds
[2025-10-23T15:36:57.609992] [Sender 4] 
=== Starting test at 5 FPS ===
[2025-10-23T15:36:59.243046] [Sender 4] Iteration 1/30 | FPS=5 | ReqID=570 | Status=200
[2025-10-23T15:37:01.940984] [Sender 4] Iteration 2/30 | FPS=5 | ReqID=571 | Status=200
[2025-10-23T15:37:05.296681] [Sender 4] Iteration 3/30 | FPS=5 | ReqID=572 | Status=200
[2025-10-23T15:37:07.902576] [Sender 4] Iteration 4/30 | FPS=5 | ReqID=573 | Status=200
[2025-10-23T15:37:10.013502] [Sender 4] Iteration 5/30 | FPS=5 | ReqID=574 | Status=200
[2025-10-23T15:37:12.700384] [Sender 4] Iteration 6/30 | FPS=5 | ReqID=575 | Status=200
[2025-10-23T15:37:15.195794] [Sender 4] Iteration 7/30 | FPS=5 | ReqID=576 | Status=200
[2025-10-23T15:37:17.362407] [Sender 4] Iteration 8/30 | FPS=5 | ReqID=577 | Status=200
[2025-10-23T15:37:19.862791] [Sender 4] Iteration 9/30 | FPS=5 | ReqID=578 | Status=200
[2025-10-23T15:37:22.576734] [Sender 4] Iteration 10/30 | FPS=5 | ReqID=579 | Status=200
[2025-10-23T15:37:24.656435] [Sender 4] Iteration 11/30 | FPS=5 | ReqID=580 | Status=200
[2025-10-23T15:37:27.197137] [Sender 4] Iteration 12/30 | FPS=5 | ReqID=581 | Status=200
[2025-10-23T15:37:29.830378] [Sender 4] Iteration 13/30 | FPS=5 | ReqID=582 | Status=200
[2025-10-23T15:37:31.934076] [Sender 4] Iteration 14/30 | FPS=5 | ReqID=583 | Status=200
[2025-10-23T15:37:34.538839] [Sender 4] Iteration 15/30 | FPS=5 | ReqID=584 | Status=200
[2025-10-23T15:37:36.885764] [Sender 4] Iteration 16/30 | FPS=5 | ReqID=585 | Status=200
[2025-10-23T15:37:39.479860] [Sender 4] Iteration 17/30 | FPS=5 | ReqID=586 | Status=200
[2025-10-23T15:37:41.916519] [Sender 4] Iteration 18/30 | FPS=5 | ReqID=587 | Status=200
[2025-10-23T15:37:44.304999] [Sender 4] Iteration 19/30 | FPS=5 | ReqID=588 | Status=200
[2025-10-23T15:37:46.880258] [Sender 4] Iteration 20/30 | FPS=5 | ReqID=589 | Status=200
[2025-10-23T15:37:49.416089] [Sender 4] Iteration 21/30 | FPS=5 | ReqID=590 | Status=200
[2025-10-23T15:37:51.957362] [Sender 4] Iteration 22/30 | FPS=5 | ReqID=591 | Status=200
[2025-10-23T15:37:54.711710] [Sender 4] Iteration 23/30 | FPS=5 | ReqID=592 | Status=200
[2025-10-23T15:37:57.339153] [Sender 4] Iteration 24/30 | FPS=5 | ReqID=593 | Status=200
[2025-10-23T15:37:59.807573] [Sender 4] Iteration 25/30 | FPS=5 | ReqID=594 | Status=200
[2025-10-23T15:38:02.385304] [Sender 4] Iteration 26/30 | FPS=5 | ReqID=595 | Status=200
[2025-10-23T15:38:04.772637] [Sender 4] Iteration 27/30 | FPS=5 | ReqID=596 | Status=200
[2025-10-23T15:38:07.125424] [Sender 4] Iteration 28/30 | FPS=5 | ReqID=597 | Status=200
[2025-10-23T15:38:10.029087] [Sender 4] Iteration 29/30 | FPS=5 | ReqID=598 | Status=200
[2025-10-23T15:38:12.465679] [Sender 4] Iteration 30/30 | FPS=5 | ReqID=599 | Status=200
[2025-10-23T15:38:12.672908] [Sender 4] Finished test at 5 FPS in 75.06 seconds
[2025-10-23T15:38:12.672908] [Sender 4] 
=== Starting test at 10 FPS ===
[2025-10-23T15:38:14.550354] [Sender 4] Iteration 1/30 | FPS=10 | ReqID=600 | Status=200
[2025-10-23T15:38:17.192617] [Sender 4] Iteration 2/30 | FPS=10 | ReqID=601 | Status=200
[2025-10-23T15:38:19.398686] [Sender 4] Iteration 3/30 | FPS=10 | ReqID=602 | Status=200
[2025-10-23T15:38:22.165674] [Sender 4] Iteration 4/30 | FPS=10 | ReqID=603 | Status=200
[2025-10-23T15:38:24.349642] [Sender 4] Iteration 5/30 | FPS=10 | ReqID=604 | Status=200
[2025-10-23T15:38:26.552799] [Sender 4] Iteration 6/30 | FPS=10 | ReqID=605 | Status=200
[2025-10-23T15:38:29.280234] [Sender 4] Iteration 7/30 | FPS=10 | ReqID=606 | Status=200
[2025-10-23T15:38:31.353747] [Sender 4] Iteration 8/30 | FPS=10 | ReqID=607 | Status=200
[2025-10-23T15:38:34.032162] [Sender 4] Iteration 9/30 | FPS=10 | ReqID=608 | Status=200
[2025-10-23T15:38:36.401812] [Sender 4] Iteration 10/30 | FPS=10 | ReqID=609 | Status=200
[2025-10-23T15:38:38.933708] [Sender 4] Iteration 11/30 | FPS=10 | ReqID=610 | Status=200
[2025-10-23T15:38:41.550889] [Sender 4] Iteration 12/30 | FPS=10 | ReqID=611 | Status=200
[2025-10-23T15:38:44.157756] [Sender 4] Iteration 13/30 | FPS=10 | ReqID=612 | Status=200
[2025-10-23T15:38:46.287764] [Sender 4] Iteration 14/30 | FPS=10 | ReqID=613 | Status=200
[2025-10-23T15:38:49.087534] [Sender 4] Iteration 15/30 | FPS=10 | ReqID=614 | Status=200
[2025-10-23T15:38:51.146962] [Sender 4] Iteration 16/30 | FPS=10 | ReqID=615 | Status=200
[2025-10-23T15:38:53.413914] [Sender 4] Iteration 17/30 | FPS=10 | ReqID=616 | Status=200
[2025-10-23T15:38:55.622767] [Sender 4] Iteration 18/30 | FPS=10 | ReqID=617 | Status=200
[2025-10-23T15:38:57.920634] [Sender 4] Iteration 19/30 | FPS=10 | ReqID=618 | Status=200
[2025-10-23T15:39:00.449473] [Sender 4] Iteration 20/30 | FPS=10 | ReqID=619 | Status=200
[2025-10-23T15:39:03.079805] [Sender 4] Iteration 21/30 | FPS=10 | ReqID=620 | Status=200
[2025-10-23T15:39:05.506792] [Sender 4] Iteration 22/30 | FPS=10 | ReqID=621 | Status=200
[2025-10-23T15:39:08.484555] [Sender 4] Iteration 23/30 | FPS=10 | ReqID=622 | Status=200
[2025-10-23T15:39:10.440253] [Sender 4] Iteration 24/30 | FPS=10 | ReqID=623 | Status=200
[2025-10-23T15:39:12.668542] [Sender 4] Iteration 25/30 | FPS=10 | ReqID=624 | Status=200
[2025-10-23T15:39:15.135024] [Sender 4] Iteration 26/30 | FPS=10 | ReqID=625 | Status=200
[2025-10-23T15:39:18.209894] [Sender 4] Iteration 27/30 | FPS=10 | ReqID=626 | Status=200
[2025-10-23T15:39:20.411410] [Sender 4] Iteration 28/30 | FPS=10 | ReqID=627 | Status=200
[2025-10-23T15:39:22.624726] [Sender 4] Iteration 29/30 | FPS=10 | ReqID=628 | Status=200
[2025-10-23T15:39:24.796047] [Sender 4] Iteration 30/30 | FPS=10 | ReqID=629 | Status=200
[2025-10-23T15:39:24.899898] [Sender 4] Finished test at 10 FPS in 72.23 seconds
[2025-10-23T15:39:24.928148] [Sender 4] 
=== Starting test at 20 FPS ===
[2025-10-23T15:39:27.245470] [Sender 4] Iteration 1/30 | FPS=20 | ReqID=630 | Status=200
[2025-10-23T15:39:29.744690] [Sender 4] Iteration 2/30 | FPS=20 | ReqID=631 | Status=200
[2025-10-23T15:39:31.939570] [Sender 4] Iteration 3/30 | FPS=20 | ReqID=632 | Status=200
[2025-10-23T15:39:34.314948] [Sender 4] Iteration 4/30 | FPS=20 | ReqID=633 | Status=200
[2025-10-23T15:39:36.996310] [Sender 4] Iteration 5/30 | FPS=20 | ReqID=634 | Status=200
[2025-10-23T15:39:39.254689] [Sender 4] Iteration 6/30 | FPS=20 | ReqID=635 | Status=200
[2025-10-23T15:39:41.714608] [Sender 4] Iteration 7/30 | FPS=20 | ReqID=636 | Status=200
[2025-10-23T15:39:44.447759] [Sender 4] Iteration 8/30 | FPS=20 | ReqID=637 | Status=200
[2025-10-23T15:39:46.586044] [Sender 4] Iteration 9/30 | FPS=20 | ReqID=638 | Status=200
[2025-10-23T15:39:48.884933] [Sender 4] Iteration 10/30 | FPS=20 | ReqID=639 | Status=200
[2025-10-23T15:39:51.395113] [Sender 4] Iteration 11/30 | FPS=20 | ReqID=640 | Status=200
[2025-10-23T15:39:53.771115] [Sender 4] Iteration 12/30 | FPS=20 | ReqID=641 | Status=200
[2025-10-23T15:39:56.188721] [Sender 4] Iteration 13/30 | FPS=20 | ReqID=642 | Status=200
[2025-10-23T15:39:58.409511] [Sender 4] Iteration 14/30 | FPS=20 | ReqID=643 | Status=200
[2025-10-23T15:40:00.689179] [Sender 4] Iteration 15/30 | FPS=20 | ReqID=644 | Status=200
[2025-10-23T15:40:02.945278] [Sender 4] Iteration 16/30 | FPS=20 | ReqID=645 | Status=200
[2025-10-23T15:40:05.510313] [Sender 4] Iteration 17/30 | FPS=20 | ReqID=646 | Status=200
[2025-10-23T15:40:08.022653] [Sender 4] Iteration 18/30 | FPS=20 | ReqID=647 | Status=200
[2025-10-23T15:40:10.788448] [Sender 4] Iteration 19/30 | FPS=20 | ReqID=648 | Status=200
[2025-10-23T15:40:13.377506] [Sender 4] Iteration 20/30 | FPS=20 | ReqID=649 | Status=200
[2025-10-23T15:40:15.750527] [Sender 4] Iteration 21/30 | FPS=20 | ReqID=650 | Status=200
[2025-10-23T15:40:18.008806] [Sender 4] Iteration 22/30 | FPS=20 | ReqID=651 | Status=200
[2025-10-23T15:40:20.512924] [Sender 4] Iteration 23/30 | FPS=20 | ReqID=652 | Status=200
[2025-10-23T15:40:22.928266] [Sender 4] Iteration 24/30 | FPS=20 | ReqID=653 | Status=200
[2025-10-23T15:40:26.112381] [Sender 4] Iteration 25/30 | FPS=20 | ReqID=654 | Status=200
[2025-10-23T15:40:29.109018] [Sender 4] Iteration 26/30 | FPS=20 | ReqID=655 | Status=200
[2025-10-23T15:40:31.396474] [Sender 4] Iteration 27/30 | FPS=20 | ReqID=656 | Status=200
[2025-10-23T15:40:33.736510] [Sender 4] Iteration 28/30 | FPS=20 | ReqID=657 | Status=200
[2025-10-23T15:40:36.370823] [Sender 4] Iteration 29/30 | FPS=20 | ReqID=658 | Status=200
[2025-10-23T15:40:38.687145] [Sender 4] Iteration 30/30 | FPS=20 | ReqID=659 | Status=200
[2025-10-23T15:40:38.741683] [Sender 4] Finished test at 20 FPS in 73.81 seconds
[2025-10-23T15:40:38.741683] [Sender 4] 
=== Starting test at 40 FPS ===
[2025-10-23T15:40:41.202504] [Sender 4] Iteration 1/30 | FPS=40 | ReqID=660 | Status=200
[2025-10-23T15:40:43.849731] [Sender 4] Iteration 2/30 | FPS=40 | ReqID=661 | Status=200
[2025-10-23T15:40:46.046079] [Sender 4] Iteration 3/30 | FPS=40 | ReqID=662 | Status=200
[2025-10-23T15:40:48.219491] [Sender 4] Iteration 4/30 | FPS=40 | ReqID=663 | Status=200
[2025-10-23T15:40:50.831710] [Sender 4] Iteration 5/30 | FPS=40 | ReqID=664 | Status=200
[2025-10-23T15:40:52.944156] [Sender 4] Iteration 6/30 | FPS=40 | ReqID=665 | Status=200
[2025-10-23T15:40:55.425248] [Sender 4] Iteration 7/30 | FPS=40 | ReqID=666 | Status=200
[2025-10-23T15:40:57.869030] [Sender 4] Iteration 8/30 | FPS=40 | ReqID=667 | Status=200
[2025-10-23T15:41:00.391703] [Sender 4] Iteration 9/30 | FPS=40 | ReqID=668 | Status=200
[2025-10-23T15:41:02.884875] [Sender 4] Iteration 10/30 | FPS=40 | ReqID=669 | Status=200
[2025-10-23T15:41:05.496985] [Sender 4] Iteration 11/30 | FPS=40 | ReqID=670 | Status=200
[2025-10-23T15:41:07.664041] [Sender 4] Iteration 12/30 | FPS=40 | ReqID=671 | Status=200
[2025-10-23T15:41:10.180696] [Sender 4] Iteration 13/30 | FPS=40 | ReqID=672 | Status=200
[2025-10-23T15:41:12.684251] [Sender 4] Iteration 14/30 | FPS=40 | ReqID=673 | Status=200
[2025-10-23T15:41:15.169728] [Sender 4] Iteration 15/30 | FPS=40 | ReqID=674 | Status=200
[2025-10-23T15:41:17.328992] [Sender 4] Iteration 16/30 | FPS=40 | ReqID=675 | Status=200
[2025-10-23T15:41:19.853541] [Sender 4] Iteration 17/30 | FPS=40 | ReqID=676 | Status=200
[2025-10-23T15:41:22.420551] [Sender 4] Iteration 18/30 | FPS=40 | ReqID=677 | Status=200
[2025-10-23T15:41:24.512456] [Sender 4] Iteration 19/30 | FPS=40 | ReqID=678 | Status=200
[2025-10-23T15:41:27.099532] [Sender 4] Iteration 20/30 | FPS=40 | ReqID=679 | Status=200
[2025-10-23T15:41:30.006814] [Sender 4] Iteration 21/30 | FPS=40 | ReqID=680 | Status=200
[2025-10-23T15:41:32.576728] [Sender 4] Iteration 22/30 | FPS=40 | ReqID=681 | Status=200
[2025-10-23T15:41:34.953948] [Sender 4] Iteration 23/30 | FPS=40 | ReqID=682 | Status=200
[2025-10-23T15:41:37.429916] [Sender 4] Iteration 24/30 | FPS=40 | ReqID=683 | Status=200
[2025-10-23T15:41:39.991572] [Sender 4] Iteration 25/30 | FPS=40 | ReqID=684 | Status=200
[2025-10-23T15:41:42.251175] [Sender 4] Iteration 26/30 | FPS=40 | ReqID=685 | Status=200
[2025-10-23T15:41:44.672707] [Sender 4] Iteration 27/30 | FPS=40 | ReqID=686 | Status=200
[2025-10-23T15:41:47.216346] [Sender 4] Iteration 28/30 | FPS=40 | ReqID=687 | Status=200
[2025-10-23T15:41:49.612789] [Sender 4] Iteration 29/30 | FPS=40 | ReqID=688 | Status=200
[2025-10-23T15:41:52.058560] [Sender 4] Iteration 30/30 | FPS=40 | ReqID=689 | Status=200
[2025-10-23T15:41:52.089951] [Sender 4] Finished test at 40 FPS in 73.35 seconds
[2025-10-23T15:41:52.089951] [Sender 4] 
=== Starting test at 60 FPS ===
[2025-10-23T15:41:54.322182] [Sender 4] Iteration 1/30 | FPS=60 | ReqID=690 | Status=200
[2025-10-23T15:41:56.760373] [Sender 4] Iteration 2/30 | FPS=60 | ReqID=691 | Status=200
[2025-10-23T15:41:59.242056] [Sender 4] Iteration 3/30 | FPS=60 | ReqID=692 | Status=200
[2025-10-23T15:42:01.606664] [Sender 4] Iteration 4/30 | FPS=60 | ReqID=693 | Status=200
[2025-10-23T15:42:03.844665] [Sender 4] Iteration 5/30 | FPS=60 | ReqID=694 | Status=200
[2025-10-23T15:42:06.381302] [Sender 4] Iteration 6/30 | FPS=60 | ReqID=695 | Status=200
[2025-10-23T15:42:08.477590] [Sender 4] Iteration 7/30 | FPS=60 | ReqID=696 | Status=200
[2025-10-23T15:42:11.028810] [Sender 4] Iteration 8/30 | FPS=60 | ReqID=697 | Status=200
[2025-10-23T15:42:13.557893] [Sender 4] Iteration 9/30 | FPS=60 | ReqID=698 | Status=200
[2025-10-23T15:42:16.252586] [Sender 4] Iteration 10/30 | FPS=60 | ReqID=699 | Status=200
[2025-10-23T15:42:18.997551] [Sender 4] Iteration 11/30 | FPS=60 | ReqID=700 | Status=200
[2025-10-23T15:42:20.927923] [Sender 4] Iteration 12/30 | FPS=60 | ReqID=701 | Status=200
[2025-10-23T15:42:23.032493] [Sender 4] Iteration 13/30 | FPS=60 | ReqID=702 | Status=200
[2025-10-23T15:42:25.686652] [Sender 4] Iteration 14/30 | FPS=60 | ReqID=703 | Status=200
[2025-10-23T15:42:27.663337] [Sender 4] Iteration 15/30 | FPS=60 | ReqID=704 | Status=200
[2025-10-23T15:42:29.855357] [Sender 4] Iteration 16/30 | FPS=60 | ReqID=705 | Status=200
[2025-10-23T15:42:32.345923] [Sender 4] Iteration 17/30 | FPS=60 | ReqID=706 | Status=200
[2025-10-23T15:42:34.869041] [Sender 4] Iteration 18/30 | FPS=60 | ReqID=707 | Status=200
[2025-10-23T15:42:37.295665] [Sender 4] Iteration 19/30 | FPS=60 | ReqID=708 | Status=200
[2025-10-23T15:42:39.520881] [Sender 4] Iteration 20/30 | FPS=60 | ReqID=709 | Status=200
[2025-10-23T15:42:41.852833] [Sender 4] Iteration 21/30 | FPS=60 | ReqID=710 | Status=200
[2025-10-23T15:42:42.368070] [Sender 4] Request failed on iteration 22 (ReqID=711): HTTPSConnectionPool(host='unparted-unabjectly-sung.ngrok-free.dev', port=443): Max retries exceeded with url: /yolo/ (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1006)')))
[2025-10-23T15:42:42.896757] [Sender 4] Request failed on iteration 23 (ReqID=712): HTTPSConnectionPool(host='unparted-unabjectly-sung.ngrok-free.dev', port=443): Max retries exceeded with url: /yolo/ (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1006)')))
[2025-10-23T15:42:43.412914] [Sender 4] Request failed on iteration 24 (ReqID=713): HTTPSConnectionPool(host='unparted-unabjectly-sung.ngrok-free.dev', port=443): Max retries exceeded with url: /yolo/ (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1006)')))
[2025-10-23T15:42:43.934435] [Sender 4] Request failed on iteration 25 (ReqID=714): HTTPSConnectionPool(host='unparted-unabjectly-sung.ngrok-free.dev', port=443): Max retries exceeded with url: /yolo/ (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1006)')))
[2025-10-23T15:42:44.470097] [Sender 4] Request failed on iteration 26 (ReqID=715): HTTPSConnectionPool(host='unparted-unabjectly-sung.ngrok-free.dev', port=443): Max retries exceeded with url: /yolo/ (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1006)')))
[2025-10-23T15:42:44.988094] [Sender 4] Request failed on iteration 27 (ReqID=716): HTTPSConnectionPool(host='unparted-unabjectly-sung.ngrok-free.dev', port=443): Max retries exceeded with url: /yolo/ (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1006)')))
[2025-10-23T15:42:45.465670] [Sender 4] Request failed on iteration 28 (ReqID=717): HTTPSConnectionPool(host='unparted-unabjectly-sung.ngrok-free.dev', port=443): Max retries exceeded with url: /yolo/ (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1006)')))
[2025-10-23T15:42:45.835797] [Sender 4] Request failed on iteration 29 (ReqID=718): HTTPSConnectionPool(host='unparted-unabjectly-sung.ngrok-free.dev', port=443): Max retries exceeded with url: /yolo/ (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1006)')))
[2025-10-23T15:42:46.089933] [Sender 4] Request failed on iteration 30 (ReqID=719): HTTPSConnectionPool(host='unparted-unabjectly-sung.ngrok-free.dev', port=443): Max retries exceeded with url: /yolo/ (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1006)')))
[2025-10-23T15:42:46.111875] [Sender 4] Finished test at 60 FPS in 54.02 seconds
[2025-10-23T15:42:46.111875] [Sender 4] === Sender 4 tests completed ===
