[2025-11-17T23:32:38.419560] === Starting network test ===
[2025-11-17T23:33:00.050133] Ping to 8.8.8.8: 14.15 ms
[2025-11-17T23:33:00.050133] Download Speed: 48.01 Mbps
[2025-11-17T23:33:00.050133] Upload Speed: 21.59 Mbps
[2025-11-17T23:33:00.050133] 
=== Starting test at 1 FPS ===
[2025-11-17T23:33:00.065444] Iteration 1/30 | FPS=1 | Status=200
[2025-11-17T23:33:01.075136] Iteration 2/30 | FPS=1 | Status=200
[2025-11-17T23:33:02.097555] Iteration 3/30 | FPS=1 | Status=200
[2025-11-17T23:33:03.113336] Iteration 4/30 | FPS=1 | Status=200
[2025-11-17T23:33:04.125373] Iteration 5/30 | FPS=1 | Status=200
[2025-11-17T23:33:05.137227] Iteration 6/30 | FPS=1 | Status=200
[2025-11-17T23:33:06.152680] Iteration 7/30 | FPS=1 | Status=200
[2025-11-17T23:33:07.172710] Iteration 8/30 | FPS=1 | Status=200
[2025-11-17T23:33:08.190434] Iteration 9/30 | FPS=1 | Status=200
[2025-11-17T23:33:09.223895] Iteration 10/30 | FPS=1 | Status=200
[2025-11-17T23:33:10.235977] Iteration 11/30 | FPS=1 | Status=200
[2025-11-17T23:33:11.254084] Iteration 12/30 | FPS=1 | Status=200
[2025-11-17T23:33:12.272579] Iteration 13/30 | FPS=1 | Status=200
[2025-11-17T23:33:13.291595] Iteration 14/30 | FPS=1 | Status=200
[2025-11-17T23:33:14.314548] Iteration 15/30 | FPS=1 | Status=200
[2025-11-17T23:33:15.325135] Iteration 16/30 | FPS=1 | Status=200
[2025-11-17T23:33:16.342920] Iteration 17/30 | FPS=1 | Status=200
[2025-11-17T23:33:17.360258] Iteration 18/30 | FPS=1 | Status=200
[2025-11-17T23:33:18.377015] Iteration 19/30 | FPS=1 | Status=200
[2025-11-17T23:33:19.395000] Iteration 20/30 | FPS=1 | Status=200
[2025-11-17T23:33:20.410153] Iteration 21/30 | FPS=1 | Status=200
[2025-11-17T23:33:21.424167] Iteration 22/30 | FPS=1 | Status=200
[2025-11-17T23:33:22.436835] Iteration 23/30 | FPS=1 | Status=200
[2025-11-17T23:33:23.454978] Iteration 24/30 | FPS=1 | Status=200
[2025-11-17T23:33:24.467147] Iteration 25/30 | FPS=1 | Status=200
