
[2025-10-11T19:06:17.418030] === Starting network test ===
[2025-10-11T19:06:40.002050] Ping to 8.8.8.8: 13.53 ms
[2025-10-11T19:06:40.002050] Download Speed: 50.49 Mbps
[2025-10-11T19:06:40.002050] Upload Speed: 21.32 Mbps
[2025-10-11T19:06:40.002050] 
=== Starting test at 1 FPS ===
[2025-10-11T19:06:40.547773] Iteration 1/30 | FPS=1 | Status=200
[2025-10-11T19:06:42.023012] Iteration 2/30 | FPS=1 | Status=200
[2025-10-11T19:06:43.461486] Iteration 3/30 | FPS=1 | Status=200
[2025-10-11T19:06:44.914039] Iteration 4/30 | FPS=1 | Status=200
[2025-10-11T19:06:46.367666] Iteration 5/30 | FPS=1 | Status=200
[2025-10-11T19:06:47.828451] Iteration 6/30 | FPS=1 | Status=200
[2025-10-11T19:06:49.274645] Iteration 7/30 | FPS=1 | Status=200
[2025-10-11T19:06:50.715393] Iteration 8/30 | FPS=1 | Status=200
[2025-10-11T19:06:52.201373] Iteration 9/30 | FPS=1 | Status=200
[2025-10-11T19:06:53.665017] Iteration 10/30 | FPS=1 | Status=200
[2025-10-11T19:06:55.116861] Iteration 11/30 | FPS=1 | Status=200
[2025-10-11T19:06:56.565041] Iteration 12/30 | FPS=1 | Status=200
[2025-10-11T19:06:58.015724] Iteration 13/30 | FPS=1 | Status=200
[2025-10-11T19:06:59.464525] Iteration 14/30 | FPS=1 | Status=200
[2025-10-11T19:07:00.924362] Iteration 15/30 | FPS=1 | Status=200
[2025-10-11T19:07:02.378118] Iteration 16/30 | FPS=1 | Status=200
[2025-10-11T19:07:03.823560] Iteration 17/30 | FPS=1 | Status=200
[2025-10-11T19:07:05.260282] Iteration 18/30 | FPS=1 | Status=200
[2025-10-11T19:07:06.708988] Iteration 19/30 | FPS=1 | Status=200
[2025-10-11T19:07:08.156616] Iteration 20/30 | FPS=1 | Status=200
[2025-10-11T19:07:09.603769] Iteration 21/30 | FPS=1 | Status=200
[2025-10-11T19:07:11.047380] Iteration 22/30 | FPS=1 | Status=200
[2025-10-11T19:07:12.503723] Iteration 23/30 | FPS=1 | Status=200
[2025-10-11T19:07:13.943063] Iteration 24/30 | FPS=1 | Status=200
[2025-10-11T19:07:15.398138] Iteration 25/30 | FPS=1 | Status=200
[2025-10-11T19:07:16.841754] Iteration 26/30 | FPS=1 | Status=200
[2025-10-11T19:07:18.287973] Iteration 27/30 | FPS=1 | Status=200
[2025-10-11T19:07:19.742686] Iteration 28/30 | FPS=1 | Status=200
[2025-10-11T19:07:21.203719] Iteration 29/30 | FPS=1 | Status=200
[2025-10-11T19:07:22.661089] Iteration 30/30 | FPS=1 | Status=200
[2025-10-11T19:07:23.661153] Finished test at 1 FPS in 43.66 seconds
[2025-10-11T19:07:23.661153] 
=== Starting test at 5 FPS ===
