[2025-10-05T19:32:58.686106] === Starting network test ===
[2025-10-05T19:33:21.841713] Ping to 8.8.8.8: 14.26 ms
[2025-10-05T19:33:21.841713] Download Speed: 49.28 Mbps
[2025-10-05T19:33:21.841713] Upload Speed: 21.29 Mbps
[2025-10-05T19:33:21.841713] 
=== Starting test at 1 FPS ===
[2025-10-05T19:33:22.694632] Iteration 1/50 | FPS=1 | Status=200
[2025-10-05T19:33:23.381508] Iteration 2/50 | FPS=1 | Status=200
[2025-10-05T19:33:23.937154] Iteration 3/50 | FPS=1 | Status=200
[2025-10-05T19:33:24.617198] Iteration 4/50 | FPS=1 | Status=200
[2025-10-05T19:33:25.310915] Iteration 5/50 | FPS=1 | Status=200
[2025-10-05T19:33:26.016704] Iteration 6/50 | FPS=1 | Status=200
[2025-10-05T19:33:26.723451] Iteration 7/50 | FPS=1 | Status=200
[2025-10-05T19:33:27.425389] Iteration 8/50 | FPS=1 | Status=200
[2025-10-05T19:33:28.120371] Iteration 9/50 | FPS=1 | Status=200
[2025-10-05T19:33:28.814253] Iteration 10/50 | FPS=1 | Status=200
[2025-10-05T19:33:29.364404] Iteration 11/50 | FPS=1 | Status=200
[2025-10-05T19:33:29.894405] Iteration 12/50 | FPS=1 | Status=200
[2025-10-05T19:33:30.432287] Iteration 13/50 | FPS=1 | Status=200
[2025-10-05T19:33:30.976978] Iteration 14/50 | FPS=1 | Status=200
[2025-10-05T19:33:31.657873] Iteration 15/50 | FPS=1 | Status=200
[2025-10-05T19:33:32.347361] Iteration 16/50 | FPS=1 | Status=200
[2025-10-05T19:33:33.042552] Iteration 17/50 | FPS=1 | Status=200
[2025-10-05T19:33:33.736396] Iteration 18/50 | FPS=1 | Status=200
[2025-10-05T19:33:34.274621] Iteration 19/50 | FPS=1 | Status=200
[2025-10-05T19:33:34.829596] Iteration 20/50 | FPS=1 | Status=200
[2025-10-05T19:33:35.378787] Iteration 21/50 | FPS=1 | Status=200
[2025-10-05T19:33:35.923997] Iteration 22/50 | FPS=1 | Status=200
[2025-10-05T19:33:36.463192] Iteration 23/50 | FPS=1 | Status=200
[2025-10-05T19:33:37.150672] Iteration 24/50 | FPS=1 | Status=200
[2025-10-05T19:33:37.842264] Iteration 25/50 | FPS=1 | Status=200
[2025-10-05T19:33:38.536334] Iteration 26/50 | FPS=1 | Status=200
[2025-10-05T19:33:39.224010] Iteration 27/50 | FPS=1 | Status=200
[2025-10-05T19:33:39.919830] Iteration 28/50 | FPS=1 | Status=200
[2025-10-05T19:33:40.467531] Iteration 29/50 | FPS=1 | Status=200
[2025-10-05T19:33:41.009377] Iteration 30/50 | FPS=1 | Status=200
[2025-10-05T19:33:41.555426] Iteration 31/50 | FPS=1 | Status=200
[2025-10-05T19:33:42.106732] Iteration 32/50 | FPS=1 | Status=200
