epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.97581,0.63245,1.17274,1.15727,0.90701,0.95157,0.97751,0.84756,0.88535,0.47317,1.11826,0,0,0
2,21.5402,0.70384,1.26401,1.15642,0.90612,0.95089,0.97753,0.84758,0.88173,0.47449,1.11672,1.17822e-06,1.17822e-06,1.17822e-06
3,33.5665,0.65564,0.99524,1.27064,0.90559,0.95046,0.97754,0.84832,0.87887,0.47525,1.1153,2.33288e-06,2.33288e-06,2.33288e-06
4,45.6041,0.79691,0.98862,1.59218,0.90477,0.94683,0.97755,0.84144,0.88131,0.4775,1.11588,3.46397e-06,3.46397e-06,3.46397e-06
5,57.0297,0.87516,1.60771,1.50877,0.90543,0.94194,0.97758,0.84147,0.87694,0.48096,1.11285,4.5715e-06,4.5715e-06,4.5715e-06
6,68.8376,0.72703,0.93118,1.12345,0.90593,0.93649,0.97925,0.84219,0.87565,0.48625,1.1099,5.65548e-06,5.65548e-06,5.65548e-06
7,80.885,0.74476,1.04445,1.24448,0.88239,0.93053,0.97924,0.84216,0.87526,0.48971,1.10747,6.71588e-06,6.71588e-06,6.71588e-06
8,93.0056,0.65335,0.76186,1.15652,0.88828,0.92968,0.97923,0.83359,0.8755,0.49751,1.10505,7.75273e-06,7.75273e-06,7.75273e-06
9,104.834,0.75945,1.25244,1.15987,0.89259,0.92976,0.97927,0.8342,0.8827,0.50666,1.10266,8.76602e-06,8.76602e-06,8.76602e-06
10,116.339,0.63234,0.37405,1.05715,0.91241,0.95071,0.97924,0.83408,0.89239,0.52241,1.10363,9.75574e-06,9.75574e-06,9.75574e-06
11,127.916,0.6807,0.8155,1.02646,0.87342,0.95953,0.9793,0.83455,0.9011,0.5445,1.10433,1.07219e-05,1.07219e-05,1.07219e-05
12,139.458,0.62225,0.48186,1.11653,0.82371,0.97468,0.9793,0.83861,0.9134,0.5814,1.11369,1.16645e-05,1.16645e-05,1.16645e-05
13,150.904,0.65035,0.43332,1.20725,0.65808,0.98333,0.97939,0.83654,0.92295,0.62203,1.12248,1.25835e-05,1.25835e-05,1.25835e-05
14,162.48,0.59681,0.5113,1.03581,0.90525,0.74867,0.97939,0.82087,0.93955,0.65936,1.13032,1.3479e-05,1.3479e-05,1.3479e-05
15,174.447,0.67912,0.42874,1.23687,0.90147,0.74784,0.97939,0.81775,0.96026,0.69963,1.14111,1.43509e-05,1.43509e-05,1.43509e-05
16,185.703,0.68208,0.42475,1.31876,0.89645,0.74761,0.97517,0.81559,0.99923,0.71778,1.15977,1.51993e-05,1.51993e-05,1.51993e-05
17,197.083,0.67642,0.40395,1.30357,0.88268,0.74842,0.97516,0.78031,1.02569,0.74533,1.17528,1.60241e-05,1.60241e-05,1.60241e-05
18,208.344,0.58318,0.41539,1.11182,0.88268,0.74842,0.97516,0.78031,1.02569,0.74533,1.17528,1.68253e-05,1.68253e-05,1.68253e-05
19,220.257,0.60837,0.35956,1.06613,0.84806,0.74748,0.97517,0.77087,1.06301,0.77713,1.19193,1.7603e-05,1.7603e-05,1.7603e-05
20,232.592,0.57281,0.40993,1.05358,0.84806,0.74748,0.97517,0.77087,1.06301,0.77713,1.19193,1.83571e-05,1.83571e-05,1.83571e-05
21,246.831,0.67499,0.6639,1.22385,0.83466,0.74867,0.94552,0.78052,1.07003,0.82699,1.19919,1.90876e-05,1.90876e-05,1.90876e-05
