[2025-11-21T17:48:03.614806] === Starting network test ===
[2025-11-21T17:48:25.084892] Ping to 8.8.8.8: 15.01 ms
[2025-11-21T17:48:25.084892] Download Speed: 49.97 Mbps
[2025-11-21T17:48:25.084892] Upload Speed: 20.95 Mbps
[2025-11-21T17:48:25.084892] 
=== Starting test at 1 FPS ===
[2025-11-21T17:48:25.109331] Iteration 1/60 | FPS=1 | Status=200
[2025-11-21T17:48:26.119350] Iteration 2/60 | FPS=1 | Status=200
[2025-11-21T17:48:27.137958] Iteration 3/60 | FPS=1 | Status=200
[2025-11-21T17:48:28.153833] Iteration 4/60 | FPS=1 | Status=200
[2025-11-21T17:48:29.171140] Iteration 5/60 | FPS=1 | Status=200
[2025-11-21T17:48:30.190862] Iteration 6/60 | FPS=1 | Status=200
[2025-11-21T17:48:31.203741] Iteration 7/60 | FPS=1 | Status=200
[2025-11-21T17:48:32.218622] Iteration 8/60 | FPS=1 | Status=200
[2025-11-21T17:48:33.236350] Iteration 9/60 | FPS=1 | Status=200
[2025-11-21T17:48:34.257161] Iteration 10/60 | FPS=1 | Status=200
[2025-11-21T17:48:35.276213] Iteration 11/60 | FPS=1 | Status=200
[2025-11-21T17:48:36.295366] Iteration 12/60 | FPS=1 | Status=200
[2025-11-21T17:48:37.306714] Iteration 13/60 | FPS=1 | Status=200
[2025-11-21T17:48:38.328169] Iteration 14/60 | FPS=1 | Status=200
[2025-11-21T17:48:39.348477] Iteration 15/60 | FPS=1 | Status=200
[2025-11-21T17:48:40.361232] Iteration 16/60 | FPS=1 | Status=200
[2025-11-21T17:48:41.380796] Iteration 17/60 | FPS=1 | Status=200
[2025-11-21T17:48:42.397912] Iteration 18/60 | FPS=1 | Status=200
[2025-11-21T17:48:43.417848] Iteration 19/60 | FPS=1 | Status=200
[2025-11-21T17:48:44.438533] Iteration 20/60 | FPS=1 | Status=200
[2025-11-21T17:48:45.457823] Iteration 21/60 | FPS=1 | Status=200
[2025-11-21T17:48:46.475197] Iteration 22/60 | FPS=1 | Status=200
[2025-11-21T17:48:47.494385] Iteration 23/60 | FPS=1 | Status=200
[2025-11-21T17:48:48.507465] Iteration 24/60 | FPS=1 | Status=200
[2025-11-21T17:48:49.526006] Iteration 25/60 | FPS=1 | Status=200
